book_id,goodreads_book_id,best_book_id,title,authors,original_publication_year,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,books_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
1,1001,1001,The River of Time,E. Novak,1987,eng,4.13,8233,8889,350,75,730,549,1526,2586,2842
2,1002,1002,The River of Light,T. Nakamura,2000,eng,3.89,3521,3631,220,55,660,147,547,1023,1144
3,1003,1003,The Mirror of Wind,T. Nakamura,1994,eng,4.13,5475,5947,141,109,490,364,684,1674,2263
4,1004,1004,The Mirror of Wind,E. Novak,1984,eng,3.78,4136,4465,263,90,610,264,722,1197,1343
5,1005,1005,The Language of Memory,L. Dubois,1988,eng,4.27,8180,8285,544,26,224,579,1142,2653,3582
6,1006,1006,The Ember of Stone,R. Singh,2020,eng,3.9,5165,5561,359,101,532,250,885,1487,2011
7,1007,1007,The Silence of Salt,R. Singh,1978,eng,4.1,84795,92279,5126,92,10657,6625,12730,25155,29628
8,1008,1008,The Language of Ash,J. Chen,2017,eng,3.45,1549,1579,65,18,0,116,264,504,682
9,1009,1009,The River of Ash,A. Rivera,2006,spa,4.02,3077,3253,73,9,590,137,432,924,994
10,1010,1010,The Silence of Glass,M. Okafor,1963,eng,3.31,884625,941130,45227,31,113496,46538,139879,251059,333653
11,1011,1011,The Weight of Stone,M. Okafor,2012,eng,3.19,3621,3841,236,57,546,149,586,1204,1136
12,1012,1012,The River of Time,R. Singh,1977,fre,3.79,2287,2309,71,19,56,167,389,658,1017
13,1013,1013,The Mirror of Glass,E. Novak,1963,eng,3.59,12146,12949,436,4,808,930,1654,4062,4692
14,1014,1014,The Ember of Glass,A. Rivera,1968,spa,3.96,43858,46629,2287,14,0,3490,8638,14408,18444
15,1015,1015,The Silence of Glass,S. Kowalski,1960,eng,4.69,1415,1531,91,38,221,91,202,417,484
16,1016,1016,The River of Glass,R. Singh,1974,en-US,3.61,6309,6815,465,47,300,420,911,2027,2651
17,1017,1017,The Mirror of Time,J. Chen,1958,eng,3.68,3795,3919,104,38,509,254,533,961,1538
18,1018,1018,The Ember of Wind,R. Singh,1989,eng,3.97,979,1049,30,54,126,61,122,282,388
19,1019,1019,The River of Time,A. Rivera,2019,eng,4.07,19573,21270,1330,86,0,1528,3010,6577,8662
20,1020,1020,The Garden of Light,S. Kowalski,2018,spa,3.84,7878,8581,462,30,640,506,1431,2426,2875
21,1021,1021,The River of Ash,R. Singh,2016,eng,3.83,8828,8970,558,55,900,471,1560,2699,3198
22,1022,1022,The Garden of Light,M. Okafor,1968,eng,4.15,3285,3293,262,87,277,198,445,1039,1326
23,1023,1023,The Weight of Wind,M. Okafor,1967,eng,4.08,13985,14895,1067,7,1195,569,1831,4443,5947
24,1024,1024,The Weight of Light,M. Okafor,1998,eng,3.54,4242,4333,299,112,539,292,618,1308,1485
25,1025,1025,The River of Light,T. Nakamura,2018,eng,3.87,6826,7210,454,119,400,462,1238,1993,2733
26,1026,1026,The Garden of Stone,M. Okafor,2008,eng,3.91,2143,2345,93,35,397,121,340,575,710
27,1027,1027,The River of Time,E. Novak,1965,spa,3.53,1883,1954,110,106,134,139,365,525,720
28,1028,1028,The Garden of Light,S. Kowalski,2002,eng,3.99,40240,41257,1250,31,2522,2825,6941,11238,16714
29,1029,1029,The Weight of Glass,S. Kowalski,1986,eng,3.6,4409,4610,289,110,769,235,748,1292,1365
30,1030,1030,The Shadow of Wind,L. Dubois,1981,eng,4.24,11499,12254,752,79,190,495,2086,4023,4705
31,1031,1031,The Shadow of Light,L. Dubois,1985,eng,3.97,7781,7859,492,30,1458,352,1400,2219,2352
32,1032,1032,The Silence of Ash,L. Dubois,1989,eng,3.93,4772,4953,222,8,320,226,703,1406,2117
33,1033,1033,The Ember of Light,L. Dubois,2015,eng,3.69,4404,4462,188,47,662,229,619,1264,1630
34,1034,1034,The Language of Time,E. Novak,2006,eng,3.86,17259,18402,779,89,2031,999,2675,5318,6236
35,1035,1035,The River of Time,R. Singh,1953,eng,3.2,5640,6108,124,28,64,434,897,1944,2301
36,1036,1036,The Garden of Wind,R. Singh,2004,eng,3.5,6756,7010,477,62,678,345,887,2289,2557
37,1037,1037,The Garden of Glass,T. Nakamura,1973,eng,4.03,8322,8631,437,15,596,632,1292,2394,3408
38,1038,1038,The Ember of Memory,L. Dubois,1974,eng,3.16,33249,35042,1438,51,5728,2234,5691,9199,10397
39,1039,1039,The River of Stone,M. Okafor,1992,ger,4.2,18335,18729,969,4,1324,1359,2399,6205,7048
40,1040,1040,The Weight of Glass,E. Novak,2019,eng,3.29,12824,13141,811,118,1666,719,1680,3839,4920
41,1041,1041,The Silence of Light,S. Kowalski,1955,eng,4.16,4120,4255,176,60,280,165,551,1312,1812
42,1042,1042,The Mirror of Light,J. Chen,1986,eng,3.6,1543,1613,107,101,344,110,220,397,472
43,1043,1043,The Weight of Time,R. Singh,1967,spa,4.17,25322,25528,1903,15,1235,1261,4986,8524,9316
44,1044,1044,The Shadow of Wind,J. Chen,2014,eng,3.95,25841,27786,1117,20,4041,1180,3154,7268,10198
45,1045,1045,The Mirror of Stone,R. Singh,1983,eng,3.36,6844,7240,193,21,764,492,921,2049,2618
46,1046,1046,The Weight of Stone,L. Dubois,2010,spa,4.34,15525,15990,1018,68,3393,1047,2067,4188,4830
47,1047,1047,The Weight of Light,A. Rivera,2012,ger,4.4,20696,20856,1646,103,2332,1003,3268,6043,8050
48,1048,1048,The Weight of Wind,A. Rivera,1958,fre,3.88,21969,23645,634,73,3561,1113,2662,7311,7322
49,1049,1049,The Silence of Wind,S. Kowalski,2004,eng,3.8,24481,24801,1536,58,2540,1898,3835,8146,8062
50,1050,1050,The Language of Ash,A. Rivera,2006,eng,3.84,4690,4752,326,113,411,237,623,1394,2025
51,1051,1051,The Silence of Wind,J. Chen,2009,eng,3.56,49909,50561,3754,22,6684,3398,7065,16309,16453
52,1052,1052,The Language of Light,L. Dubois,2020,fre,4.28,1815,1829,49,20,197,82,332,536,668
53,1053,1053,The Shadow of Ash,E. Novak,2004,eng,3.71,22789,24854,581,80,2116,1654,3070,6548,9401
54,1054,1054,The Mirror of Ash,S. Kowalski,2009,eng,3.88,14657,15051,1161,102,1104,655,2482,4464,5952
55,1055,1055,The Garden of Stone,R. Singh,2000,fre,3.62,23117,23825,624,32,3093,1401,3525,6244,8854
56,1056,1056,The Language of Wind,E. Novak,1971,eng,3.68,77250,83683,2364,32,7919,3198,11850,21757,32526
57,1057,1057,The Silence of Time,R. Singh,2010,eng,3.45,48114,51096,2622,63,2991,2983,8917,15427,17796
58,1058,1058,The Garden of Salt,T. Nakamura,2000,eng,4.34,2050,2088,95,93,152,151,272,670,805
59,1059,1059,The Garden of Wind,S. Kowalski,1998,eng,3.85,1068,1114,69,34,91,46,207,273,451
60,1060,1060,The River of Time,L. Dubois,2019,eng,4.24,21596,23504,678,99,705,1100,4135,6981,8675
