Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,2015,3.921,8.103,0.772,62.07,0.932,0.174,0.734
Finland,2016,3.81,8.116,1.0,69.53,0.853,-0.204,0.728
Finland,2017,3.883,8.062,0.882,62.27,0.496,0.155,0.452
Finland,2018,3.902,8.03,0.759,46.52,0.933,0.138,0.822
Finland,2019,4.215,8.081,0.584,57.85,0.569,0.025,0.616
Finland,2020,3.772,8.117,0.619,67.38,0.734,0.053,0.585
Finland,2021,3.983,8.089,0.598,64.76,1.0,0.397,0.864
Finland,2022,4.168,8.106,0.973,64.55,0.74,0.056,0.618
Finland,2023,4.066,8.156,0.67,62.01,1.0,0.09,0.552
Denmark,2015,5.695,9.719,0.91,67.16,0.768,0.333,0.464
Denmark,2016,5.843,9.723,0.979,49.39,0.649,0.021,0.733
Denmark,2017,5.911,9.839,0.611,71.0,0.706,0.0,0.708
Denmark,2018,5.733,9.685,0.756,53.02,0.653,0.156,0.662
Denmark,2019,6.039,9.799,0.616,58.95,0.612,-0.083,0.687
Denmark,2020,5.776,9.73,0.884,64.11,0.804,0.116,0.726
Denmark,2021,5.863,9.911,0.851,68.14,0.811,-0.118,0.567
Denmark,2022,5.832,9.88,0.637,78.07,0.766,-0.082,0.258
Denmark,2023,5.835,9.885,0.714,65.74,0.654,0.183,0.455
Iceland,2015,7.718,8.738,0.744,58.28,0.868,-0.072,0.503
Iceland,2016,7.396,8.759,0.685,61.2,0.435,-0.117,0.517
Iceland,2017,7.408,8.819,0.587,61.29,0.87,0.183,0.584
Iceland,2018,7.274,8.88,0.731,55.65,0.63,,0.644
Iceland,2019,7.51,8.844,0.913,60.19,0.726,0.473,0.753
Iceland,2020,7.301,8.884,0.839,74.68,0.677,-0.161,0.544
Iceland,2021,7.353,8.914,0.958,67.53,0.872,-0.065,0.774
Iceland,2022,7.593,8.967,0.83,66.23,1.0,-0.039,0.578
Iceland,2023,7.387,8.986,0.748,67.46,0.708,0.118,0.574
Switzerland,2015,5.981,7.929,0.771,70.32,0.59,0.127,0.388
Switzerland,2016,5.987,8.113,1.0,63.25,0.861,0.118,0.62
Switzerland,2017,6.012,7.952,0.927,64.61,0.961,,0.465
Switzerland,2018,5.835,8.074,0.804,68.9,0.672,-0.22,0.78
Switzerland,2019,5.861,8.065,0.808,73.29,0.681,-0.006,0.562
Switzerland,2020,5.895,8.008,0.943,,0.585,0.289,0.581
Switzerland,2021,5.572,8.08,0.912,74.54,0.686,0.161,0.743
Switzerland,2022,5.626,8.135,0.796,60.71,0.676,0.11,0.606
Switzerland,2023,5.61,8.116,0.934,66.71,0.883,0.28,0.718
Netherlands,2015,6.25,8.556,1.0,78.6,0.457,-0.045,0.733
Netherlands,2016,6.287,8.629,0.791,68.64,0.848,0.088,0.805
Netherlands,2017,5.96,8.644,0.676,72.67,0.716,-0.033,0.675
Netherlands,2018,6.16,8.587,0.612,64.79,0.825,0.253,0.572
Netherlands,2019,6.434,8.653,0.789,69.59,0.909,0.049,0.551
Netherlands,2020,6.328,8.677,0.692,73.22,0.69,0.169,0.435
Netherlands,2021,6.429,8.712,0.75,81.17,0.806,0.367,0.792
Netherlands,2022,6.345,8.693,0.852,65.49,0.757,0.057,0.238
Netherlands,2023,6.436,8.621,0.845,59.19,0.643,0.067,0.655
